2026-01-02 at 14:33:41 | INFO | Обновление успешно обработано.
2026-01-02 at 14:34:48 | INFO | Получен запрос с вебхука.
2026-01-02 at 14:34:50 | INFO | Обновление успешно обработано.
2026-01-02 at 14:35:18 | INFO | Получен запрос с вебхука.
2026-01-02 at 14:35:19 | INFO | Обновление успешно обработано.
2026-01-02 at 14:41:24 | INFO | Бот остановлен...
2026-01-02 at 14:41:25 | ERROR | Бот остановлен!
2026-01-02 at 14:41:38 | INFO | Бот запущен...
2026-01-02 at 14:41:38 | INFO | Бот успешно запущен.
2026-01-02 at 14:41:39 | SUCCESS | Вебхук установлен: https://gh01c6ls-8000.euw.devtunnels.ms/webhook
2026-01-02 at 14:41:56 | INFO | Получен запрос с вебхука.
2026-01-02 at 14:41:57 | INFO | Запись User с ID 5180149646 найдена.
2026-01-02 at 14:41:57 | INFO | Обновление успешно обработано.
2026-01-02 at 14:42:05 | INFO | Получен запрос с вебхука.
2026-01-02 at 14:42:06 | INFO | Обновление успешно обработано.
2026-01-02 at 14:42:10 | INFO | Получен запрос с вебхука.
2026-01-02 at 14:42:10 | INFO | Поиск всех записей Table по фильтрам: {'capacity': 1}
2026-01-02 at 14:42:10 | INFO | Найдено 1 записей.
2026-01-02 at 14:42:11 | INFO | Обновление успешно обработано.
2026-01-02 at 14:42:20 | INFO | Получен запрос с вебхука.
2026-01-02 at 14:42:20 | INFO | Обновление успешно обработано.
2026-01-02 at 14:42:28 | INFO | Получен запрос с вебхука.
2026-01-02 at 14:42:29 | INFO | Обновление успешно обработано.
2026-01-02 at 15:09:13 | INFO | Бот остановлен...
2026-01-02 at 15:09:13 | ERROR | Бот остановлен!
2026-01-02 at 15:09:26 | INFO | Бот запущен...
2026-01-02 at 15:09:27 | INFO | Бот успешно запущен.
2026-01-02 at 15:09:28 | SUCCESS | Вебхук установлен: https://gh01c6ls-8000.euw.devtunnels.ms/webhook
2026-01-02 at 15:09:37 | INFO | Получен запрос с вебхука.
2026-01-02 at 15:09:37 | INFO | Запись User с ID 5180149646 найдена.
2026-01-02 at 15:09:37 | INFO | Обновление успешно обработано.
2026-01-02 at 15:09:39 | INFO | Получен запрос с вебхука.
2026-01-02 at 15:09:39 | INFO | Обновление успешно обработано.
2026-01-02 at 15:09:43 | INFO | Получен запрос с вебхука.
2026-01-02 at 15:09:43 | INFO | Поиск всех записей Table по фильтрам: {'capacity': 1}
2026-01-02 at 15:09:43 | INFO | Найдено 1 записей.
2026-01-02 at 15:09:43 | INFO | Обновление успешно обработано.
2026-01-02 at 15:09:45 | INFO | Получен запрос с вебхука.
2026-01-02 at 15:09:46 | INFO | Обновление успешно обработано.
2026-01-02 at 15:09:49 | INFO | Получен запрос с вебхука.
2026-01-02 at 15:09:50 | INFO | Обновление успешно обработано.
2026-01-02 at 15:09:53 | INFO | Получен запрос с вебхука.
2026-01-02 at 15:09:54 | INFO | Обновление успешно обработано.
2026-01-02 at 15:10:01 | INFO | Получен запрос с вебхука.
2026-01-02 at 15:10:01 | INFO | Обновление успешно обработано.
2026-01-02 at 15:10:18 | INFO | Получен запрос с вебхука.
2026-01-02 at 15:10:21 | INFO | Обновление успешно обработано.
2026-01-02 at 15:10:24 | INFO | Получен запрос с вебхука.
2026-01-02 at 15:10:24 | INFO | Обновление успешно обработано.
2026-01-02 at 15:39:28 | INFO | Нет бронирований для обновления статуса.
2026-01-02 at 15:40:06 | INFO | Бот остановлен...
2026-01-02 at 15:40:07 | ERROR | Бот остановлен!
2026-01-02 at 15:40:21 | INFO | Бот запущен...
2026-01-02 at 15:40:22 | INFO | Бот успешно запущен.
2026-01-02 at 15:40:22 | SUCCESS | Вебхук установлен: https://gh01c6ls-8000.euw.devtunnels.ms/webhook
2026-01-02 at 15:41:07 | INFO | Получен запрос с вебхука.
2026-01-02 at 15:41:07 | INFO | Запись User с ID 5180149646 найдена.
2026-01-02 at 15:41:08 | INFO | Обновление успешно обработано.
2026-01-02 at 15:41:14 | INFO | Получен запрос с вебхука.
2026-01-02 at 15:41:15 | INFO | Обновление успешно обработано.
2026-01-02 at 15:41:17 | INFO | Получен запрос с вебхука.
2026-01-02 at 15:41:17 | INFO | Поиск всех записей Table по фильтрам: {'capacity': 2}
2026-01-02 at 15:41:17 | INFO | Найдено 3 записей.
2026-01-02 at 15:41:17 | INFO | Обновление успешно обработано.
2026-01-02 at 15:41:32 | INFO | Получен запрос с вебхука.
2026-01-02 at 15:41:33 | INFO | Обновление успешно обработано.
2026-01-02 at 15:42:27 | INFO | Бот остановлен...
2026-01-02 at 15:42:29 | ERROR | Бот остановлен!
